year;month;end_of_week;avg_goals_per_match_home;home_avg_growth %;avg_goals_per_match_away;away_avg_growth %
2010;09;2010-09-19;1.44;-0.1479;1.11;-0.0672
2010;09;2010-09-12;1.69;0.012;1.19;0.19
2010;09;2010-09-05;1.67;0.219;1;-0.0291
2010;08;2010-08-29;1.37;-0.0486;1.03;-0.1694
2010;08;2010-08-22;1.44;-0.1479;1.24;0.0081
2010;08;2010-08-15;1.69;0.2707;1.23;0.1182
2010;08;2010-08-08;1.33;-0.2811;1.1;0.2941
2010;08;2010-08-01;1.85;-0.075;0.85;-0.491
2010;07;2010-07-25;2;0.3333;1.67;0.67
2010;07;2010-07-18;1.5;-0.1176;1;-0.0826
2010;05;2010-05-16;1.7;0.0059;1.09;-0.1615
2010;05;2010-05-09;1.69;0.0497;1.3;0.0744
2010;05;2010-05-02;1.61;0.0592;1.21;0.0342
2010;04;2010-04-25;1.52;-0.1059;1.17;0.0541
2010;04;2010-04-18;1.7;-0.0058;1.11;0.0673
2010;04;2010-04-11;1.71;0.0892;1.04;0.0196
2010;04;2010-04-04;1.57;-0.0427;1.02;-0.1429
2010;03;2010-03-28;1.64;-0.0409;1.19;0.1553
2010;03;2010-03-21;1.71;0.0962;1.03;-0.0885
2010;03;2010-03-14;1.56;0.1556;1.13;0.0367
2010;03;2010-03-07;1.35;0.0465;1.09;-0.1138
2010;02;2010-02-28;1.29;-0.2086;1.23;0.1604
2010;02;2010-02-21;1.63;0.1399;1.06;0
2010;02;2010-02-14;1.43;-0.1488;1.06;0.2471
2010;02;2010-02-07;1.68;0.2537;0.85;-0.2202
2010;01;2010-01-31;1.34;-0.0147;1.09;0.0187
2010;01;2010-01-24;1.36;-0.0423;1.07;-0.0183
2010;01;2010-01-17;1.42;0.0143;1.09;-0.1805
2010;01;2010-01-10;1.4;-0.0141;1.33;0.4149
2010;01;2010-01-03;1.42;-0.0658;0.94;-0.1376
2009;12;2009-12-27;1.52;-0.1006;1.09;0.2976
2009;12;2009-12-20;1.69;0.3413;0.84;-0.3226
2009;12;2009-12-13;1.26;-0.241;1.24;-0.008
2009;12;2009-12-06;1.66;0.1608;1.25;0.1364
2009;11;2009-11-29;1.43;-0.1686;1.1;-0.0756
2009;11;2009-11-22;1.72;-0.2618;1.19;0.19
2009;11;2009-11-15;2.33;0.4207;1;-0.187
2009;11;2009-11-08;1.64;0.0789;1.23;0.1389
2009;11;2009-11-01;1.52;-0.05;1.08;-0.0769
2009;10;2009-10-25;1.6;0.0811;1.17;0.2316
2009;10;2009-10-18;1.48;0.1128;0.95;-0.2857
2009;10;2009-10-11;1.33;-0.1635;1.33;0.1271
2009;10;2009-10-04;1.59;0.0127;1.18;0.1028
2009;09;2009-09-27;1.57;0.0397;1.07;-0.1508
2009;09;2009-09-20;1.51;-0.0443;1.26;0.0413
2009;09;2009-09-13;1.58;-0.5138;1.21;-0.032
2009;09;2009-09-06;3.25;1.4809;1.25;0.1161
2009;08;2009-08-30;1.31;0.0234;1.12;-0.0175
2009;08;2009-08-23;1.28;-0.1688;1.14;-0.1298
2009;08;2009-08-16;1.54;0.0405;1.31;-0.0643
2009;08;2009-08-09;1.48;-0.1345;1.4;0.12
2009;08;2009-08-02;1.71;0;1.25;-0.031
2009;07;2009-07-26;1.71;-0.145;1.29;-0.0301
2009;07;2009-07-19;2;0.5038;1.33;3.0303
2009;07;2009-07-12;1.33;-0.2772;0.33;-0.6916
2009;05;2009-05-31;1.84;0.1871;1.07;-0.1832
2009;05;2009-05-24;1.55;0.0616;1.31;0.0826
2009;05;2009-05-17;1.46;-0.0875;1.21;0.1204
2009;05;2009-05-10;1.6;0.1511;1.08;-0.0092
2009;05;2009-05-03;1.39;-0.1472;1.09;0.0381
2009;04;2009-04-26;1.63;0.0795;1.05;-0.0367
2009;04;2009-04-19;1.51;-0.117;1.09;-0.0439
2009;04;2009-04-12;1.71;0.2128;1.14;-0.0087
2009;04;2009-04-05;1.41;-0.0208;1.15;0.4744
2009;03;2009-03-22;1.44;-0.1056;0.78;-0.3906
2009;03;2009-03-15;1.61;0.1259;1.28;0.2427
2009;03;2009-03-08;1.43;-0.0138;1.03;-0.019
2009;03;2009-03-01;1.45;0.1328;1.05;-0.0541
2009;02;2009-02-22;1.28;-0.0078;1.11;0.0571
2009;02;2009-02-15;1.29;-0.1731;1.05;-0.1732
2009;02;2009-02-08;1.56;0.2581;1.27;0.2095
